,overall,verified,reviewTime,reviewerID,asin,style,reviewerName,reviewText,summary,unixReviewTime
0,5,True,"04 18, 2018",A2EM03F99X3RJZ,B00004U9V2,{'Size:': ' 3.5 oz.'},Maureen G,Great hand lotion,Five Stars,1524009600
1,5,True,"04 18, 2018",A3Z74TDRGD0HU,B00004U9V2,{'Size:': ' 3.5 oz.'},Terry K,This is the best for the severely dry skin on my hands,Five Stars,1524009600
2,5,True,"04 17, 2018",A2UXFNW9RTL4VM,B00004U9V2,{'Size:': ' 3.5 oz.'},Patricia Wood,The best non- oily hand cream ever. It heals overnight.,I always have a backup ready.,1523923200
3,5,True,"04 14, 2018",AXX5G4LFF12R6,B00004U9V2,{'Size:': ' 250 g'},Ralla,Ive used this lotion for many years. I try others occasionally and always come back to Gardners. Please don't change a thing.,Ive used this lotion for many years. I try ...,1523664000
4,5,True,"04 11, 2018",A7GUKMOJT2NR6,B00004U9V2,{'Size:': ' 3.5 oz.'},Lydia Speight,Works great for dry hands.,Five Stars,1523404800
5,5,True,"04 11, 2018",A3FU4L59BHA9FY,B00004U9V2,{'Size:': ' 3.5 oz.'},Allen Semer,The best hand cream ever.,Made in the USA,1523404800
6,5,True,"04 7, 2018",A1AMNMIPQMXH9M,B00004U9V2,{'Size:': ' 3.5 oz.'},Vets park,LOVE THIS SCENT!!  But Crabtree and Evelyn make so many.  Washes off easily too!!,Moistens and smells good,1523059200
7,5,True,"04 6, 2018",A3DMBDTA8VGWSX,B00004U9V2,{'Size:': ' 3.5 oz.'},Cynthia P. Irving,Its a great moisturizer especially for gardners,Five Stars,1522972800
8,5,True,"04 5, 2018",A160DTI3H7VHLQ,B00004U9V2,{'Size:': ' 0.9 oz.'},CB,This hand cream is the best! Have been using it for years. Keeps my hands soft all day,Five Stars,1522886400
9,5,True,"04 5, 2018",A1H41DKPDPVA0R,B00004U9V2,{'Size:': ' 250 g'},Donna Butler RN,I am a healthcare care professional that suffers from dry hands.  This hand lotion has changed my life.  I keep it on the desk nearby.  The hand therapy instantly improves the discomfort from dry hands.,Best hand therapy on the market!!,1522886400
10,5,True,"04 5, 2018",A2BDI7THUMJ8V,B00004U9V2,{'Size:': ' 250 g'},Teresa K. L.,have used on and off for years. Product is good for dry skin. I like the smell but it may be strong for some.,Product is good for dry skin,1522886400
11,5,True,"04 3, 2018",AM7EBP5TRX7AC,B00004U9V2,{'Size:': ' 250 g'},Glenn B. Guilbault,Great hand cream,Five Stars,1522713600
12,5,False,"04 2, 2018",A31FOVCS3WTWPT,B00004U9V2,{'Size:': ' 3.5 oz.'},Pam,"This is my favorite lotion!  I have loved it for many years. The smell is one that men and women would like.  It's not a fruity or perfume scent, more herbal?  Its hard to explain.  The lotion is just amazing though. Not greasy at all.  You have to try it at least once :)",My Favorite Lotion in the World,1522627200
13,4,True,"03 30, 2018",AXUU8F9EM6U3E,B00004U9V2,{'Size:': ' 0.9 oz.'},Amazon Customer,Soothing! Love the way it smells,Love the way it,1522368000
14,5,True,"03 29, 2018",A24B46V78ATNRP,B00004U9V2,{'Size:': ' 250 g'},Michael Konrad,My wife loves the Gardeners hand cream and liquid soap.,Wonderful,1522281600
15,5,True,"03 27, 2018",ABUBKML2EONCG,B00004U9V2,{'Size:': ' 3.5 oz.'},Lotte Hersey,"I always loved this lotion ,glad you had it",Five Stars,1522108800
16,5,True,"03 26, 2018",A2UA6E1RVG3C1I,B00004U9V2,{'Size:': ' 0.9 oz.'},Ginny,Absolutely great. Cleared my hands in just three to four applications. Would definitely recommend to others with dry rough hands.,Absolutely great!,1522022400
